id,name,version,type,issuesCritical,issuesHigh,issuesMedium,issuesLow,dependenciesWithIssues,licenses,projects,license urls,latestVersion,latestVersionPublishedDate,firstPublishedDate,isDeprecated
hashgraph/cryptography@1.4.7,hashgraph/cryptography,1.4.7,npm,0,0,0,0,,Apache-2.0,hashgraph/hedera-sdk-tck:package.json,https://app.snyk.io/vuln/snyk:lic:Apache-2.0,1.4.7,2023-07-05T09:41:02.367Z,2020-10-03T22:33:18.002Z,
hashgraph/cryptography@1.4.8-beta.5,hashgraph/cryptography,1.4.8-beta.5,npm,0,0,0,0,,Apache-2.0,"hashgraph/hedera-sdk-js:package.json, hashgraph/hedera-nft-sdk(main):package.json, hashgraph/hedera-sdk-js:examples/react-native-example/package.json",https://app.snyk.io/vuln/snyk:lic:Apache-2.0,1.4.7,2023-07-05T09:41:02.367Z,2020-10-03T22:33:18.002Z,
hashgraph/proto@2.13.0,hashgraph/proto,2.13.0,npm,0,0,0,0,,Apache-2.0,hashgraph/hedera-sdk-tck:package.json,https://app.snyk.io/vuln/snyk:lic:Apache-2.0,2.15.0,2024-06-06T12:42:21.738Z,2020-10-03T22:32:00.759Z,
hashgraph/proto@2.14.0-beta.3,hashgraph/proto,2.14.0-beta.3,npm,0,0,0,0,,Apache-2.0,hashgraph/hedera-sdk-js:examples/react-native-example/package.json,https://app.snyk.io/vuln/snyk:lic:Apache-2.0,2.15.0,2024-06-06T12:42:21.738Z,2020-10-03T22:32:00.759Z,
hashgraph/proto@2.14.0-beta.6,hashgraph/proto,2.14.0-beta.6,npm,0,0,0,0,,Apache-2.0,hashgraph/hedera-nft-sdk(main):package.json,https://app.snyk.io/vuln/snyk:lic:Apache-2.0,2.15.0,2024-06-06T12:42:21.738Z,2020-10-03T22:32:00.759Z,
hashgraph/proto@2.15.0-beta.3,hashgraph/proto,2.15.0-beta.3,npm,0,0,0,0,,Apache-2.0,hashgraph/hedera-sdk-js:package.json,https://app.snyk.io/vuln/snyk:lic:Apache-2.0,2.15.0,2024-06-06T12:42:21.738Z,2020-10-03T22:32:00.759Z,
hashgraph/sdk@2.31.0,hashgraph/sdk,2.31.0,npm,0,0,0,0,"axios@1.6.0, @grpc/grpc-js@1.8.2, inflight@1.0.6",Apache-2.0,hashgraph/hedera-sdk-tck:package.json,https://app.snyk.io/vuln/snyk:lic:Apache-2.0,2.49.2,2024-08-03T10:05:21.706Z,2019-08-23T00:56:59.396Z,
hashgraph/sdk@2.39.0,hashgraph/sdk,2.39.0,npm,0,0,0,0,"follow-redirects@1.15.4, @grpc/grpc-js@1.8.2",Apache-2.0,hashgraph/hedera-sdk-js:examples/react-native-example/package.json,https://app.snyk.io/vuln/snyk:lic:Apache-2.0,2.49.2,2024-08-03T10:05:21.706Z,2019-08-23T00:56:59.396Z,
hashgraph/sdk@2.45.0,hashgraph/sdk,2.45.0,npm,0,0,0,0,grpc/grpc-js@1.8.2,Apache-2.0,hashgraph/hedera-nft-sdk(main):package.json,https://app.snyk.io/vuln/snyk:lic:Apache-2.0,2.49.2,2024-08-03T10:05:21.706Z,2019-08-23T00:56:59.396Z,
hashgraph/sdk@link:..,hashgraph/sdk,link:..,npm,0,0,0,0,,Apache-2.0,"hashgraph/hedera-sdk-js:examples/package.json, hashgraph/hedera-sdk-js:common_js_test/package.json",https://app.snyk.io/vuln/snyk:lic:Apache-2.0,2.49.2,2024-08-03T10:05:21.706Z,2019-08-23T00:56:59.396Z,
hashgraph/sdk@link:../..,hashgraph/sdk,link:../..,npm,0,0,0,0,,Apache-2.0,hashgraph/hedera-sdk-js:examples/simple_rest_signature_provider/package.json,https://app.snyk.io/vuln/snyk:lic:Apache-2.0,,,,
hash.js@1.1.7,hash.js,1.1.7,npm,0,0,0,0,,MIT,"hashgraph/hedera-sdk-js:package.json, hashgraph/hedera-sdk-tck:package.json, hashgraph/hedera-nft-sdk(main):package.json, hashgraph/hedera-sdk-js:examples/react-native-example/package.json, hashgraph/hedera-sdk-js:packages/cryptography/package.json",https://app.snyk.io/vuln/snyk:lic:MIT,1.1.7,2018-11-30T19:50:03.326Z,2014-04-25T21:12:00.996Z,
hasown@2.0.2,hasown,2.0.2,npm,0,0,0,0,,MIT,"hashgraph/hedera-sdk-js:examples/simple_rest_signature_provider/package.json, hashgraph/hedera-nft-sdk(main):package.json",https://app.snyk.io/vuln/snyk:lic:MIT,2.0.2,2024-03-10T17:38:25.117Z,2014-09-03T06:38:13.950Z,
has-property-descriptors@1.0.2,has-property-descriptors,1.0.2,npm,0,0,0,0,,MIT,"hashgraph/hedera-sdk-js:examples/simple_rest_signature_provider/package.json, hashgraph/hedera-nft-sdk(main):package.json",https://app.snyk.io/vuln/snyk:lic:MIT,1.0.2,2024-02-13T05:21:47.659Z,2022-04-15T05:52:40.160Z,
has-proto@1.0.1,has-proto,1.0.1,npm,0,0,0,0,,MIT,hashgraph/hedera-sdk-js:examples/react-native-example/package.json,https://app.snyk.io/vuln/snyk:lic:MIT,1.0.3,2024-02-19T20:39:53.253Z,2022-12-13T05:52:33.020Z,
has-proto@1.0.3,has-proto,1.0.3,npm,0,0,0,0,,MIT,"hashgraph/hedera-sdk-js:examples/simple_rest_signature_provider/package.json, hashgraph/hedera-nft-sdk(main):package.json",https://app.snyk.io/vuln/snyk:lic:MIT,1.0.3,2024-02-19T20:39:53.253Z,2022-12-13T05:52:33.020Z,
has-symbols@1.0.3,has-symbols,1.0.3,npm,0,0,0,0,,MIT,"hashgraph/hedera-sdk-js:examples/simple_rest_signature_provider/package.json, hashgraph/hedera-nft-sdk(main):package.json, hashgraph/hedera-sdk-js:examples/react-native-example/package.json",https://app.snyk.io/vuln/snyk:lic:MIT,1.0.3,2022-03-01T21:23:41.133Z,2016-09-19T23:46:36.740Z,
has-tostringtag@1.0.2,has-tostringtag,1.0.2,npm,0,0,0,0,,MIT,"hashgraph/hedera-sdk-js:examples/simple_rest_signature_provider/package.json, hashgraph/hedera-nft-sdk(main):package.json",https://app.snyk.io/vuln/snyk:lic:MIT,1.0.2,2024-02-01T21:44:00.130Z,2021-08-05T14:59:41.280Z,
he@1.2.0,he,1.2.0,npm,0,0,0,0,,MIT,"hashgraph/hedera-sdk-js:common_js_test/package.json, hashgraph/hedera-sdk-js:examples/simple_rest_signature_provider/package.json, hashgraph/hedera-sdk-tck:package.json",https://app.snyk.io/vuln/snyk:lic:MIT,1.2.0,2018-09-23T17:18:22.163Z,2013-06-25T07:04:30.073Z,
help-me@4.2.0,help-me,4.2.0,npm,0,0,0,0,inflight@1.0.6,MIT,hashgraph/hedera-sdk-tck:package.json,https://app.snyk.io/vuln/snyk:lic:MIT,5.0.0,2023-12-13T10:30:49.578Z,2014-12-05T09:03:29.322Z,
help-me@5.0.0,help-me,5.0.0,npm,0,0,0,0,,MIT,"hashgraph/hedera-sdk-js:package.json, hashgraph/hedera-nft-sdk(main):package.json, hashgraph/hedera-sdk-js:examples/react-native-example/package.json",https://app.snyk.io/vuln/snyk:lic:MIT,5.0.0,2023-12-13T10:30:49.578Z,2014-12-05T09:03:29.322Z,
hermes-estree@0.12.0,hermes-estree,0.12.0,npm,0,0,0,0,,MIT,hashgraph/hedera-sdk-js:examples/react-native-example/package.json,https://app.snyk.io/vuln/snyk:lic:MIT,0.23.1,2024-07-26T22:00:46.875Z,2021-12-03T19:26:51.636Z,
hermes-parser@0.12.0,hermes-parser,0.12.0,npm,0,0,0,0,,MIT,hashgraph/hedera-sdk-js:examples/react-native-example/package.json,https://app.snyk.io/vuln/snyk:lic:MIT,0.23.1,2024-07-26T22:01:08.187Z,2021-01-08T18:43:52.561Z,
hermes-profile-transformer@0.0.6,hermes-profile-transformer,0.0.6,npm,0,0,0,0,,MIT,hashgraph/hedera-sdk-js:examples/react-native-example/package.json,https://app.snyk.io/vuln/snyk:lic:MIT,0.0.9,2020-08-20T01:40:41.259Z,2020-08-11T08:09:53.138Z,
hmac-drbg@1.0.1,hmac-drbg,1.0.1,npm,0,0,0,0,,MIT,"hashgraph/hedera-sdk-js:package.json, hashgraph/hedera-sdk-tck:package.json, hashgraph/hedera-nft-sdk(main):package.json, hashgraph/hedera-sdk-js:examples/react-native-example/package.json, hashgraph/hedera-sdk-js:packages/cryptography/package.json",https://app.snyk.io/vuln/snyk:lic:MIT,1.0.1,2017-04-09T22:33:31.828Z,2017-02-22T21:23:50.501Z,
hosted-git-info@2.8.9,hosted-git-info,2.8.9,npm,0,0,0,0,,ISC,hashgraph/hedera-nft-sdk(main):package.json,https://app.snyk.io/vuln/snyk:lic:ISC,7.0.2,2024-05-04T01:10:57.235Z,2014-10-09T18:34:13.442Z,
